Dystans (m),Wysokość (m)
0,-4621.83349609375
495.80246904672197,-4623.82275390625
991.6049380934439,-4627.154296875
1487.407407140166,-4630.86083984375
1983.2098761868879,-4636.90234375
2479.0123452336097,-4646.1767578125
2974.814814280332,-4654.92578125
3470.617283327054,-4663.826171875
3966.4197523737757,-4673.99951171875
4462.222221420498,-4683.2734375
4958.024690467219,-4692.91162109375
5453.827159513941,-4701.71337890625
5949.629628560664,-4710.298828125
6445.432097607386,-4720.0751953125
6941.234566654108,-4728.85888671875
7437.03703570083,-4730.0791015625
7932.8395047475515,-4727.70556640625
8428.641973794274,-4726.90869140625
8924.444442840995,-4730.07177734375
9420.246911887718,-4733.4775390625
9916.049380934439,-4735.76318359375
10411.851849981162,-4737.8544921875
10907.654319027883,-4740.61865234375
11403.456788074605,-4739.30126953125
11899.259257121328,-4731.748046875
12395.061726168049,-4724.07177734375
12890.864195214772,-4719.0341796875
13386.666664261493,-4714.947265625
13882.469133308216,-4711.52099609375
14378.271602354936,-4712.2646484375
14874.07407140166,-4724.49951171875
15369.87654044838,-4732.1162109375
15865.679009495103,-4738.7177734375
16361.481478541826,-4744.1083984375
16857.28394758855,-4742.68994140625
17353.08641663527,-4743.19189453125
17848.88888568199,-4743
18344.69135472871,-4743.80419921875
18840.493823775436,-4743.18359375
19336.296292822157,-4741.6005859375
19832.098761868878,-4739.31201171875
20327.901230915602,-4736.3388671875
20823.703699962323,-4735.70166015625
21319.506169009044,-4735.65478515625
21815.308638055765,-4739.93798828125
22311.11110710249,-4742.52294921875
22806.91357614921,-4744.3349609375
23302.71604519593,-4745.6142578125
23798.518514242656,-4745.8466796875
24294.320983289377,-4746.47509765625
24790.123452336098,-4748.2509765625
25285.92592138282,-4749.79638671875
25781.728390429544,-4751.0673828125
26277.530859476265,-4753.0029296875
26773.333328522986,-4754.16259765625
27269.135797569706,-4755.2099609375
27764.93826661643,-4755.78173828125
28260.740735663152,-4757.0703125
28756.543204709873,-4757.38427734375
29252.345673756598,-4756.876953125
29748.14814280332,-4756.076171875
30243.95061185004,-4754.9892578125
30739.75308089676,-4753.794921875
31235.555549943485,-4753
31731.358018990206,-4752.3076171875
32227.160488036927,-4752.75146484375
32722.96295708365,-4754.720703125
33218.76542613037,-4755.38427734375
33714.5678951771,-4757.9013671875
34210.37036422382,-4765.97119140625
34706.17283327054,-4765.25537109375
35201.97530231726,-4771.451171875
35697.77777136398,-4768.71484375
36193.5802404107,-4770.6689453125
36689.38270945742,-4776.5146484375
37185.18517850415,-4781.77587890625
37680.98764755087,-4783.43603515625
38176.79011659759,-4784.71875
38672.592585644314,-4785
39168.395054691035,-4783.27099609375
39664.197523737756,-4782.7724609375
40159.99999278448,-4784.39306640625
40655.802461831205,-4785.64453125
41151.604930877926,-4787
41647.40739992465,-4785.578125
42143.20986897137,-4784.24951171875
42639.01233801809,-4786.11083984375
43134.81480706481,-4785.2802734375
43630.61727611153,-4785.2236328125
44126.41974515826,-4784
44622.22221420498,-4787.53466796875
45118.0246832517,-4786.27099609375
45613.82715229842,-4786.37548828125
46109.62962134514,-4788.419921875
46605.43209039186,-4790.5361328125
47101.234559438584,-4789.29345703125
47597.03702848531,-4791.79443359375
48092.83949753203,-4791.92431640625
48588.641966578754,-4792.43798828125
49084.444435625475,-4794.673828125
49580.246904672196,-4796
50076.04937371892,-4796.0224609375
50571.85184276564,-4797.04248046875
51067.65431181236,-4799.75
51563.45678085909,-4802
52059.25924990581,-4802
52555.06171895253,-4802.80224609375
53050.86418799925,-4803.0673828125
53546.66665704597,-4803.06396484375
54042.46912609269,-4805.2646484375
54538.27159513941,-4808.7666015625
55034.07406418614,-4812.2060546875
55529.87653323286,-4814.1865234375
56025.67900227958,-4814.685546875
56521.481471326304,-4815.3505859375
57017.283940373025,-4815.9716796875
57513.086409419746,-4816.392578125
58008.88887846647,-4817.802734375
58504.691347513195,-4818.64599609375
59000.493816559916,-4820.57275390625
59496.29628560664,-4821.63916015625
59992.09875465336,-4824.630859375
60487.90122370008,-4827.4365234375
60983.7036927468,-4828.55078125
61479.50616179352,-4833.658203125
61975.30863084025,-4838.33251953125
62471.11109988697,-4841.96240234375
62966.91356893369,-4839.74267578125
63462.71603798041,-4841.2705078125
63958.51850702713,-4845.04443359375
64454.320976073854,-4850.2353515625
64950.123445120575,-4851.916015625
65445.9259141673,-4853.63330078125
65941.72838321402,-4855.0791015625
66437.53085226074,-4859.12255859375
66933.33332130747,-4863.94482421875
67429.1357903542,-4869.50732421875
67924.93825940091,-4869.5283203125
68420.74072844764,-4874.052734375
68916.54319749435,-4881.2861328125
69412.34566654108,-4884.9384765625
69908.14813558779,-4889.68017578125
70403.95060463452,-4894.4345703125
70899.75307368125,-4901.25146484375
71395.55554272796,-4904.95947265625
71891.35801177469,-4910.7919921875
72387.1604808214,-4919.5654296875
72882.96294986813,-4928.892578125
73378.76541891485,-4933.5732421875
73874.56788796157,-4939.90234375
74370.3703570083,-4953.07568359375
74866.17282605502,-4961.38525390625
75361.97529510174,-4962.396484375
75857.77776414846,-4965.28662109375
76353.58023319519,-4968.26708984375
76849.3827022419,-4973.38330078125
